,Order Date,Ship Mode,Segment,Country,City,State,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Returns,Payment Mode,Year,Month_Number,Month_Name
0,2019-01-01,Standard Class,Corporate,United States,Gaithersburg,Maryland,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",73.94,1,28.2668,,Online,2019,1,January
1,2019-01-02,Standard Class,Corporate,United States,Gaithersburg,Maryland,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",173.94,3,38.2668,,Online,2019,1,January
2,2019-01-02,Standard Class,Corporate,United States,Gaithersburg,Maryland,Technology,Phones,GE 30522EE2,231.98,2,67.2742,,Cards,2019,1,January
3,2019-01-03,First Class,Consumer,United States,Los Angeles,California,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,114.46,2,28.615,,Online,2019,1,January
4,2019-01-03,Standard Class,Corporate,United States,San Antonio,Texas,Technology,Accessories,Imation Clip USB flash drive - 8 GB,30.08,2,-5.264,,Online,2019,1,January
5,2019-01-03,Standard Class,Corporate,United States,San Antonio,Texas,Technology,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive,165.6,3,-6.21,,Online,2019,1,January
6,2019-01-03,Standard Class,Corporate,United States,San Antonio,Texas,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,5,13.572,,Cards,2019,1,January
7,2019-01-03,Standard Class,Corporate,United States,Broken Arrow,Oklahoma,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",1592.85,7,350.427,,COD,2019,1,January
8,2019-01-03,Standard Class,Corporate,United States,Broken Arrow,Oklahoma,Office Supplies,Binders,Storex Dura Pro Binders,11.88,2,5.346,,COD,2019,1,January
9,2019-01-04,Standard Class,Corporate,United States,Charlotte,North Carolina,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,959.968,4,119.996,,Online,2019,1,January
10,2019-01-04,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,Office Supplies,Art,Newell 312,4.672,1,0.584,,Online,2019,1,January
11,2019-01-04,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,Office Supplies,Binders,Avery Arch Ring Binders,104.58,6,-80.178,,Online,2019,1,January
12,2019-01-05,Second Class,Corporate,United States,Jacksonville,Florida,Technology,Accessories,Logitech MX Performance Wireless Mouse,191.472,6,40.6878,,COD,2019,1,January
13,2019-01-05,Second Class,Corporate,United States,Jacksonville,Florida,Office Supplies,Art,Newell 337,5.248,2,0.5904,,Online,2019,1,January
14,2019-01-05,Second Class,Corporate,United States,Jacksonville,Florida,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",59.184,2,5.1786,,COD,2019,1,January
15,2019-01-07,Standard Class,Home Office,United States,Oakland,California,Office Supplies,Art,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,34.58,1,10.0282,,COD,2019,1,January
16,2019-01-07,Standard Class,Consumer,United States,Amarillo,Texas,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",23.076,3,-10.9611,,COD,2019,1,January
17,2019-01-07,Standard Class,Consumer,United States,Amarillo,Texas,Office Supplies,Paper,Xerox 212,25.92,5,9.072,,Cards,2019,1,January
18,2019-01-08,Standard Class,Corporate,United States,Franklin,Wisconsin,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1565.88,6,407.1288,,Online,2019,1,January
19,2019-01-08,Standard Class,Corporate,United States,Franklin,Wisconsin,Office Supplies,Binders,Plastic Binding Combs,106.05,7,49.8435,,Cards,2019,1,January
